IP,MAC,Üretici,Cihaz Adý,Cihaz Türü,Cihaz Konumu,Açýklama,Ýþletim Sistemi,Cihaz Sahibi
192.168.1.1,24:d3:f2:a6:1a:45,Bilinmeyen Üretici,hgw.local,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.10,f4:b1:9c:14:d6:cc,Bilinmeyen Üretici,192.168.1.10,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.33,ec:c8:9c:95:26:76,Bilinmeyen Üretici,192.168.1.33,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.44,e8:f4:08:38:8f:6a,Bilinmeyen Üretici,kyusu.local,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.46,74:56:3c:54:b0:48,Bilinmeyen Üretici,192.168.1.46,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.110,28:0e:8b:6e:20:91,Bilinmeyen Üretici,192.168.1.110,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.49,f4:b1:9c:14:d6:cc,Bilinmeyen Üretici,192.168.1.49,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.37,32:ca:bc:f1:5b:81,Bilinmeyen Üretici,192.168.1.37,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.36,9a:9a:ec:96:38:ac,Bilinmeyen Üretici,192.168.1.36,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.93,7e:ab:61:27:c8:a1,Bilinmeyen Üretici,192.168.1.93,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.91,2e:9a:69:bf:09:6d,Bilinmeyen Üretici,192.168.1.91,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
192.168.1.38,5c:ba:ef:79:43:e7,Bilinmeyen Üretici,192.168.1.38,Bilinmeyen Tür,Bilinmeyen Konum,Açýklama Yok,Bilinmeyen OS,Bilinmeyen Sahip
